channel,int_sans_beta,int_sans_t,int_sans_p,int_saps_beta,int_saps_t,int_saps_p,int_dose_beta,int_dose_t,int_dose_p,int_sans_p_fdr,int_sans_sig,int_saps_p_fdr,int_saps_sig,int_dose_p_fdr,int_dose_sig
channel1,9.368720e-07,1.693566e+00,9.265399e-02,7.179899e-07,1.173607e+00,2.426189e-01,-1.610088e-06,-2.104714e+00,3.716957e-02,4.941546e-01,False,5.545575e-01,False,2.973565e-01,False
channel2,9.086423e-07,1.746945e+00,8.292100e-02,1.808934e-07,3.144790e-01,7.536428e-01,-2.476395e-07,-3.442928e-01,7.311618e-01,4.941546e-01,False,8.613060e-01,False,9.960597e-01,False
channel3,1.755325e-06,2.839219e+00,5.222145e-03,-6.947354e-07,-1.016116e+00,3.113918e-01,-2.122616e-06,-2.482759e+00,1.426290e-02,8.355431e-02,False,6.227836e-01,False,2.282064e-01,False
channel4,4.919928e-07,9.513488e-01,3.431275e-01,9.876830e-07,1.726955e+00,8.646297e-02,-8.719651e-07,-1.219275e+00,2.248658e-01,6.100044e-01,False,3.458519e-01,False,7.499615e-01,False
channel5,5.801501e-07,1.051663e+00,2.948328e-01,1.235366e-06,2.024951e+00,4.484413e-02,-7.487325e-07,-9.814874e-01,3.281081e-01,6.100044e-01,False,3.458519e-01,False,7.499615e-01,False
channel6,4.461604e-08,9.544332e-02,9.241042e-01,9.016823e-07,1.744177e+00,8.340431e-02,-7.706712e-07,-1.192190e+00,2.352783e-01,9.305190e-01,False,3.458519e-01,False,7.499615e-01,False
channel7,1.330553e-07,2.817378e-01,7.785760e-01,6.566234e-07,1.257222e+00,2.108441e-01,-7.079404e-08,-1.084005e-01,9.138389e-01,9.305190e-01,False,5.545575e-01,False,9.960597e-01,False
channel8,3.725925e-08,8.735473e-02,9.305190e-01,5.833844e-07,1.236772e+00,2.183190e-01,-2.918276e-09,-4.947666e-03,9.960597e-01,9.305190e-01,False,5.545575e-01,False,9.960597e-01,False
channel9,4.694555e-07,1.100754e+00,2.729624e-01,6.794593e-08,1.440595e-01,8.856683e-01,8.600756e-07,1.458325e+00,1.470736e-01,6.100044e-01,False,8.856683e-01,False,7.499615e-01,False
channel10,5.165580e-07,1.191498e+00,2.355487e-01,-2.073687e-07,-4.325138e-01,6.660582e-01,2.279956e-08,3.802965e-02,9.697202e-01,6.100044e-01,False,8.307746e-01,False,9.960597e-01,False
channel11,7.885679e-08,2.050310e-01,8.378567e-01,2.582142e-07,6.070760e-01,5.448201e-01,-1.057519e-08,-1.988338e-02,9.841658e-01,9.305190e-01,False,7.924656e-01,False,9.960597e-01,False
channel12,2.609246e-07,5.454305e-01,5.863575e-01,4.082064e-07,7.715902e-01,4.417057e-01,-4.516911e-07,-6.827906e-01,4.959092e-01,8.528837e-01,False,7.707087e-01,False,9.253995e-01,False
channel13,5.152880e-07,1.245278e+00,2.151868e-01,1.922922e-07,4.202042e-01,6.750044e-01,1.365550e-07,2.386413e-01,8.117456e-01,6.100044e-01,False,8.307746e-01,False,9.960597e-01,False
channel14,1.918725e-07,4.277220e-01,6.695351e-01,1.111113e-06,2.239699e+00,2.674577e-02,9.017239e-08,1.453597e-01,8.846437e-01,8.927134e-01,False,3.458519e-01,False,9.960597e-01,False
channel15,3.791098e-07,9.983046e-01,3.199177e-01,2.963044e-07,7.055351e-01,4.816929e-01,3.383005e-07,6.442024e-01,5.205372e-01,6.100044e-01,False,7.707087e-01,False,9.253995e-01,False
channel16,3.090074e-07,7.810686e-01,4.361297e-01,-7.900783e-08,-1.805814e-01,8.569670e-01,5.892379e-07,1.077042e+00,2.833824e-01,6.978075e-01,False,8.856683e-01,False,7.499615e-01,False
