channel,int_sans_beta,int_sans_t,int_sans_p,int_saps_beta,int_saps_t,int_saps_p,int_wais_matrix_beta,int_wais_matrix_t,int_wais_matrix_p,int_sud_beta,int_sud_t,int_sud_p,int_dose_beta,int_dose_t,int_dose_p,int_sans_p_fdr,int_sans_sig,int_saps_p_fdr,int_saps_sig,int_wais_matrix_p_fdr,int_wais_matrix_sig,int_sud_p_fdr,int_sud_sig,int_dose_p_fdr,int_dose_sig
channel1,1.052486e-06,1.870265e+00,6.367864e-02,7.441203e-07,1.188010e+00,2.369789e-01,8.632299e-08,4.439928e-02,9.646537e-01,2.917341e-05,1.900776e+00,5.952823e-02,-1.962304e-06,-2.448782e+00,1.565617e-02,4.284375e-01,False,6.319437e-01,False,9.646537e-01,False,4.762258e-01,False,1.252494e-01,False
channel2,9.206915e-07,1.762412e+00,8.033203e-02,2.167139e-08,3.727091e-02,9.703257e-01,2.117227e-07,1.173068e-01,9.067966e-01,1.812815e-05,1.272341e+00,2.055058e-01,-5.332838e-07,-7.168833e-01,4.747223e-01,4.284375e-01,False,9.703257e-01,False,9.646537e-01,False,7.657812e-01,False,9.173659e-01,False
channel3,1.643140e-06,2.615867e+00,9.944927e-03,-9.116626e-07,-1.303963e+00,1.945328e-01,-3.467789e-06,-1.597925e+00,1.124690e-01,6.202050e-06,3.620207e-01,7.179199e-01,-2.421309e-06,-2.707001e+00,7.694656e-03,1.591188e-01,False,6.225049e-01,False,8.997522e-01,False,7.657812e-01,False,1.231145e-01,False
channel4,5.077531e-07,9.630335e-01,3.373050e-01,8.966218e-07,1.527876e+00,1.289543e-01,-6.263619e-07,-3.438560e-01,7.315059e-01,1.464868e-05,1.018695e+00,3.102255e-01,-1.096870e-06,-1.460969e+00,1.464183e-01,5.624174e-01,False,6.225049e-01,False,9.646537e-01,False,7.657812e-01,False,6.288198e-01,False
channel5,6.134267e-07,1.090637e+00,2.774345e-01,1.163963e-06,1.859289e+00,6.522971e-02,-2.428660e-07,-1.249818e-01,9.007295e-01,1.456364e-05,9.493897e-01,3.441706e-01,-9.342293e-07,-1.166455e+00,2.455496e-01,5.624174e-01,False,5.218377e-01,False,9.646537e-01,False,7.657812e-01,False,6.547989e-01,False
channel6,-7.204860e-08,-1.509957e-01,8.802114e-01,7.534350e-07,1.418649e+00,1.583762e-01,-1.309014e-06,-7.940462e-01,4.286046e-01,-5.305896e-06,-4.077132e-01,6.841498e-01,-8.961896e-07,-1.318973e+00,1.894792e-01,8.802114e-01,False,6.225049e-01,False,9.646537e-01,False,7.657812e-01,False,6.288198e-01,False
channel7,8.676680e-08,1.808107e-01,8.567956e-01,5.212298e-07,9.758653e-01,3.309299e-01,-1.801507e-06,-1.086598e+00,2.792097e-01,6.614183e-06,5.053633e-01,6.141529e-01,-2.504272e-07,-3.664788e-01,7.145990e-01,8.802114e-01,False,6.618597e-01,False,9.646537e-01,False,7.657812e-01,False,9.428602e-01,False
channel8,-6.874749e-08,-1.582276e-01,8.745211e-01,5.023779e-07,1.038833e+00,3.007959e-01,-1.952723e-06,-1.300854e+00,1.955921e-01,-1.382694e-05,-1.166832e+00,2.453980e-01,8.022068e-08,1.296608e-01,8.970337e-01,8.802114e-01,False,6.618597e-01,False,9.646537e-01,False,7.657812e-01,False,9.568360e-01,False
channel9,4.963156e-07,1.149655e+00,2.523806e-01,1.626777e-07,3.385538e-01,7.354879e-01,-1.524626e-06,-1.022199e+00,3.085708e-01,4.298494e-06,3.650756e-01,7.156437e-01,7.980474e-07,1.298181e+00,1.965062e-01,5.624174e-01,False,8.405576e-01,False,9.646537e-01,False,7.657812e-01,False,6.288198e-01,False
channel10,4.227662e-07,9.672777e-01,3.351876e-01,-1.861238e-07,-3.825982e-01,7.026378e-01,-8.245338e-07,-5.460367e-01,5.859694e-01,-2.616790e-05,-2.195213e+00,2.990985e-02,3.513542e-07,5.645376e-01,5.733537e-01,5.624174e-01,False,8.405576e-01,False,9.646537e-01,False,4.762258e-01,False,9.173659e-01,False
channel11,1.089987e-07,2.754231e-01,7.834252e-01,3.090401e-07,7.015907e-01,4.841790e-01,2.629010e-07,1.922798e-01,8.478208e-01,2.449901e-06,2.269783e-01,8.207944e-01,-1.415806e-08,-2.512347e-02,9.799947e-01,8.802114e-01,False,7.195261e-01,False,9.646537e-01,False,8.207944e-01,False,9.799947e-01,False
channel12,2.076292e-07,4.234281e-01,6.726773e-01,3.918170e-07,7.179009e-01,4.740967e-01,-4.498993e-07,-2.655639e-01,7.909926e-01,-7.182468e-06,-5.370587e-01,5.921381e-01,-4.349980e-07,-6.229817e-01,5.343796e-01,8.802114e-01,False,7.195261e-01,False,9.646537e-01,False,7.657812e-01,False,9.173659e-01,False
channel13,6.119948e-07,1.446124e+00,1.505307e-01,3.195038e-07,6.783030e-01,4.987760e-01,3.595456e-07,2.459089e-01,8.061376e-01,9.095332e-06,7.880127e-01,4.321128e-01,1.335200e-07,2.215649e-01,8.249976e-01,5.624174e-01,False,7.195261e-01,False,9.646537e-01,False,7.657812e-01,False,9.428602e-01,False
channel14,2.957905e-07,6.483063e-01,5.179216e-01,1.194467e-06,2.352125e+00,2.015660e-02,2.818026e-06,1.787736e+00,7.613051e-02,7.204649e-06,5.789828e-01,5.635950e-01,1.468511e-07,2.260320e-01,8.215288e-01,7.533406e-01,False,3.225056e-01,False,8.997522e-01,False,7.657812e-01,False,9.428602e-01,False
