channel,n_pos,n_neg,mean_pos,sd_pos,mean_neg,sd_neg,mw_stat,mw_p,rb_r,cohens_d,ancova_beta,ancova_se,ancova_t,ancova_p,ancova_r2,ancova_p_fdr,ancova_p_fdr_sig,ancova_p_hoch,ancova_p_hoch_sig,ancova_p_homm,ancova_p_homm_sig,mw_p_fdr,mw_p_fdr_sig,mw_p_hoch,mw_p_hoch_sig,mw_p_homm,mw_p_homm_sig,ancova_p_perm_max,ancova_p_perm_max_sig,ancova_p_cluster,ancova_p_cluster_sig
left_dlpfc,77,85,-1.575649e-05,6.277524e-05,-8.411765e-07,3.921844e-05,2.960500e+03,2.961427e-01,9.533995e-02,-2.881499e-01,-3.783875e-05,1.627936e-05,-2.324340e+00,2.139701e-02,7.853560e-02,8.558805e-02,False,8.558805e-02,False,8.558805e-02,False,4.749835e-01,False,4.749835e-01,False,4.749835e-01,False,6.460000e-02,False,,False
left_mpfc,77,85,-4.821429e-06,5.351829e-05,3.285294e-06,3.792441e-05,2.953500e+03,2.854051e-01,9.747899e-02,-1.762504e-01,-1.701986e-05,1.450278e-05,-1.173558e+00,2.423606e-01,6.174168e-02,4.847212e-01,False,7.270818e-01,False,7.270818e-01,False,4.749835e-01,False,4.749835e-01,False,4.749835e-01,False,5.714000e-01,False,,False
right_mpfc,77,85,-3.577922e-06,3.468228e-05,-1.735294e-07,3.589255e-05,3.034500e+03,4.257011e-01,7.272727e-02,-9.637935e-02,-2.814713e-06,1.142187e-05,-2.464319e-01,8.056719e-01,7.823537e-03,8.056719e-01,False,8.056719e-01,False,8.056719e-01,False,4.749835e-01,False,4.749835e-01,False,4.749835e-01,False,9.974000e-01,False,,False
right_dlpfc,77,85,-5.925325e-06,3.485466e-05,-1.529412e-06,3.708758e-05,3.059000e+03,4.749835e-01,6.524064e-02,-1.219590e-01,-7.984204e-06,1.157128e-05,-6.900019e-01,4.912182e-01,2.342081e-02,6.549576e-01,False,8.056719e-01,False,8.056719e-01,False,4.749835e-01,False,4.749835e-01,False,4.749835e-01,False,8.954000e-01,False,,False
