channel,int_sans_beta,int_sans_t,int_sans_p,int_saps_beta,int_saps_t,int_saps_p,int_wais_matrix_beta,int_wais_matrix_t,int_wais_matrix_p,int_sud_beta,int_sud_t,int_sud_p,int_sans_p_fdr,int_sans_sig,int_saps_p_fdr,int_saps_sig,int_wais_matrix_p_fdr,int_wais_matrix_sig,int_sud_p_fdr,int_sud_sig
left_dlpfc,1.213899e-06,7.574748e-01,4.499382e-01,4.974873e-07,2.018758e-01,8.402837e-01,7.266913e-07,2.722255e-01,7.858181e-01,2.556781e-05,9.320268e-01,3.528007e-01,8.998763e-01,False,8.402837e-01,False,9.229102e-01,False,7.662918e-01,False
left_mpfc,-1.102400e-07,-7.705536e-02,9.386808e-01,1.346876e-06,6.122209e-01,5.413063e-01,-2.309927e-07,-9.692936e-02,9.229102e-01,1.449803e-05,5.920005e-01,5.547298e-01,9.892250e-01,False,8.402837e-01,False,9.229102e-01,False,7.662918e-01,False
right_mpfc,-1.526494e-08,-1.352716e-02,9.892250e-01,4.538072e-07,2.615169e-01,7.940479e-01,4.300965e-07,2.288077e-01,8.193259e-01,-6.253093e-06,-3.237097e-01,7.466028e-01,9.892250e-01,False,8.402837e-01,False,9.229102e-01,False,7.662918e-01,False
right_dlpfc,-1.769571e-06,-1.565839e+00,1.194659e-01,6.796167e-07,3.910749e-01,6.962895e-01,-2.201546e-06,-1.169500e+00,2.440330e-01,5.760234e-06,2.977615e-01,7.662918e-01,4.778637e-01,False,8.402837e-01,False,9.229102e-01,False,7.662918e-01,False
