channel,n_pos,n_neg,mean_pos,sd_pos,mean_neg,sd_neg,mw_stat,mw_p,rb_r,cohens_d,ancova_beta,ancova_se,ancova_t,ancova_p,ancova_r2,ancova_p_fdr,ancova_p_fdr_sig,ancova_p_hoch,ancova_p_hoch_sig,ancova_p_homm,ancova_p_homm_sig,mw_p_fdr,mw_p_fdr_sig,mw_p_hoch,mw_p_hoch_sig,mw_p_homm,mw_p_homm_sig,ancova_p_perm_max,ancova_p_perm_max_sig,ancova_p_cluster,ancova_p_cluster_sig
channel1,66,85,-4.515152e-06,5.408888e-05,1.729412e-06,4.678201e-05,2.578500e+03,3.964599e-01,8.074866e-02,-1.246400e-01,-2.011767e-05,1.170166e-05,-1.719214e+00,8.768029e-02,2.498767e-02,1.617149e-01,False,6.440360e-01,False,5.809511e-01,False,9.631274e-01,False,9.970049e-01,False,9.970049e-01,False,4.974000e-01,False,1.000000e+00,False
channel2,66,85,-1.604545e-05,5.801656e-05,-6.858824e-06,4.535131e-05,2.689500e+03,6.659345e-01,4.117647e-02,-1.792071e-01,-2.436968e-05,1.197425e-05,-2.035174e+00,4.363021e-02,2.878876e-02,1.199638e-01,False,4.948505e-01,False,3.926719e-01,False,9.631274e-01,False,9.970049e-01,False,9.970049e-01,False,2.842000e-01,False,2.852000e-01,False
channel3,66,85,-4.318182e-06,6.482643e-05,3.647059e-06,4.360420e-05,2.602500e+03,4.484674e-01,7.219251e-02,-1.477789e-01,-2.146700e-05,1.261657e-05,-1.701493e+00,9.096465e-02,2.223520e-02,1.617149e-01,False,6.440360e-01,False,5.809511e-01,False,9.631274e-01,False,9.970049e-01,False,9.970049e-01,False,5.146000e-01,False,1.000000e+00,False
channel4,66,85,-1.092424e-05,5.778190e-05,-1.882353e-06,4.152062e-05,2.656000e+03,5.772962e-01,5.311943e-02,-1.834844e-01,-2.847718e-05,1.136674e-05,-2.505307e+00,1.332484e-02,5.331673e-02,8.599931e-02,False,1.998726e-01,False,1.732229e-01,False,9.631274e-01,False,9.970049e-01,False,9.970049e-01,False,1.026000e-01,False,1.350000e-01,False
channel5,66,85,-1.030303e-06,4.692809e-05,3.552941e-06,4.320590e-05,2.731000e+03,7.825954e-01,2.638146e-02,-1.021503e-01,-7.756312e-06,1.057931e-05,-7.331584e-01,4.646294e-01,5.046829e-03,5.310050e-01,False,6.440360e-01,False,6.440360e-01,False,9.631274e-01,False,9.970049e-01,False,9.970049e-01,False,9.976000e-01,False,1.000000e+00,False
channel6,66,85,-7.272727e-07,4.091738e-05,-6.470588e-07,3.795445e-05,2.924500e+03,6.549463e-01,-4.260250e-02,-2.042391e-03,-6.261742e-06,9.216688e-06,-6.793917e-01,4.979581e-01,1.187682e-02,5.311553e-01,False,6.440360e-01,False,6.440360e-01,False,9.631274e-01,False,9.970049e-01,False,9.970049e-01,False,9.990000e-01,False,1.000000e+00,False
channel7,66,85,-3.939394e-07,5.361655e-05,5.352941e-06,4.490909e-05,2.643500e+03,5.455531e-01,5.757576e-02,-1.175263e-01,-9.145341e-06,1.152266e-05,-7.936829e-01,4.286594e-01,7.109616e-03,5.275807e-01,False,6.440360e-01,False,6.440360e-01,False,9.631274e-01,False,9.970049e-01,False,9.970049e-01,False,9.948000e-01,False,1.000000e+00,False
channel8,66,85,-2.969697e-06,4.378021e-05,4.882353e-06,3.875976e-05,2.613000e+03,4.719796e-01,6.844920e-02,-1.913943e-01,-1.705533e-05,9.617106e-06,-1.773437e+00,7.822706e-02,2.295372e-02,1.617149e-01,False,6.440360e-01,False,5.690950e-01,False,9.631274e-01,False,9.970049e-01,False,9.970049e-01,False,4.554000e-01,False,1.000000e+00,False
channel9,66,85,-1.045455e-06,5.131994e-05,4.352941e-07,4.487110e-05,2.803500e+03,9.970049e-01,5.347594e-04,-3.098353e-02,-5.218320e-06,1.127023e-05,-4.630182e-01,6.440360e-01,2.429736e-03,6.440360e-01,False,6.440360e-01,False,6.440360e-01,False,9.970049e-01,False,9.970049e-01,False,9.970049e-01,False,1.000000e+00,False,1.000000e+00,False
channel10,66,85,-8.530303e-06,5.841792e-05,7.176471e-07,3.898981e-05,2.569500e+03,3.776359e-01,8.395722e-02,-1.909426e-01,-1.415130e-05,1.141842e-05,-1.239340e+00,2.171947e-01,1.172140e-02,3.475115e-01,False,6.440360e-01,False,6.440360e-01,False,9.631274e-01,False,9.970049e-01,False,9.970049e-01,False,8.546000e-01,False,1.000000e+00,False
