channel,n_pos,n_neg,mean_pos,sd_pos,mean_neg,sd_neg,mw_stat,mw_p,rb_r,cohens_d,ancova_beta,ancova_se,ancova_t,ancova_p,ancova_r2,ancova_p_fdr,ancova_p_fdr_sig,ancova_p_hoch,ancova_p_hoch_sig,ancova_p_homm,ancova_p_homm_sig,mw_p_fdr,mw_p_fdr_sig,mw_p_hoch,mw_p_hoch_sig,mw_p_homm,mw_p_homm_sig,ancova_p_perm_max,ancova_p_perm_max_sig,ancova_p_cluster,ancova_p_cluster_sig
left_dlpfc,77,66,-1.575649e-05,6.277524e-05,-8.950758e-06,4.948627e-05,2.460000e+03,7.444070e-01,3.187721e-02,-1.193254e-01,-1.363694e-05,1.101289e-05,-1.238271e+00,2.177487e-01,7.237507e-02,8.709946e-01,False,8.709946e-01,False,8.709946e-01,False,8.300413e-01,False,8.300413e-01,False,8.300413e-01,False,5.638000e-01,False,,False
left_mpfc,77,66,-4.821429e-06,5.351829e-05,-1.280303e-06,3.956712e-05,2.280500e+03,2.921306e-01,1.025187e-01,-7.439703e-02,-2.187670e-06,9.323310e-06,-2.346452e-01,8.148370e-01,4.330445e-02,9.678053e-01,False,9.678053e-01,False,9.678053e-01,False,8.300413e-01,False,8.300413e-01,False,8.300413e-01,False,9.984000e-01,False,,False
right_mpfc,77,66,-3.577922e-06,3.468228e-05,-6.075758e-06,5.045217e-05,2.408000e+03,5.915120e-01,5.234160e-02,5.852169e-02,2.170556e-06,8.511465e-06,2.550155e-01,7.990963e-01,7.911669e-03,9.678053e-01,False,9.678053e-01,False,9.678053e-01,False,8.300413e-01,False,8.300413e-01,False,8.300413e-01,False,9.978000e-01,False,,False
right_dlpfc,77,66,-5.925325e-06,3.485466e-05,-7.719697e-06,5.432570e-05,2.487500e+03,8.300413e-01,2.105470e-02,3.997048e-02,3.574874e-07,8.840940e-06,4.043546e-02,9.678053e-01,3.197634e-02,9.678053e-01,False,9.678053e-01,False,9.678053e-01,False,8.300413e-01,False,8.300413e-01,False,8.300413e-01,False,1.000000e+00,False,,False
