channel,int_sans_beta,int_sans_t,int_sans_p,int_saps_beta,int_saps_t,int_saps_p,int_sans_p_fdr,int_sans_sig,int_saps_p_fdr,int_saps_sig
channel1,1.181753e-06,6.592129e-01,5.107310e-01,5.510095e-07,1.969388e-01,8.441318e-01,9.140202e-01,False,9.860767e-01,False
channel2,2.635342e-06,1.509009e+00,1.333192e-01,5.033662e-08,1.846766e-02,9.852894e-01,7.040645e-01,False,9.860767e-01,False
channel3,3.021281e-07,1.806281e-01,8.568939e-01,1.548571e-07,5.931961e-02,9.527735e-01,9.140202e-01,False,9.860767e-01,False
channel4,1.150183e-06,7.147703e-01,4.758193e-01,1.107347e-06,4.409164e-01,6.598840e-01,9.140202e-01,False,9.860767e-01,False
channel5,4.777317e-07,2.408986e-01,8.099500e-01,1.665841e-06,5.382161e-01,5.911950e-01,9.140202e-01,False,9.860767e-01,False
channel6,3.337703e-07,2.374052e-01,8.126539e-01,1.658191e-06,7.557012e-01,4.509679e-01,9.140202e-01,False,9.860767e-01,False
channel7,-6.137811e-07,-4.021056e-01,6.881567e-01,8.721183e-07,3.660792e-01,7.148020e-01,9.140202e-01,False,9.860767e-01,False
channel8,-3.486551e-07,-2.497700e-01,8.030938e-01,7.957069e-07,3.652332e-01,7.154320e-01,9.140202e-01,False,9.860767e-01,False
channel9,-1.258657e-06,-1.007362e+00,3.153210e-01,4.723729e-07,2.422345e-01,8.089167e-01,8.408559e-01,False,9.860767e-01,False
channel10,4.212039e-07,3.017856e-01,7.632174e-01,1.882006e-07,8.639729e-02,9.312614e-01,9.140202e-01,False,9.860767e-01,False
channel11,2.171382e-08,1.898143e-02,9.848802e-01,3.120714e-08,1.747912e-02,9.860767e-01,9.848802e-01,False,9.860767e-01,False
channel12,4.800474e-07,3.803507e-01,7.042025e-01,1.190899e-06,6.045719e-01,5.463418e-01,9.140202e-01,False,9.860767e-01,False
channel13,-1.745488e-06,-1.597493e+00,1.121794e-01,5.880323e-07,3.448230e-01,7.306919e-01,7.040645e-01,False,9.860767e-01,False
channel14,-1.628216e-06,-1.231417e+00,2.200201e-01,8.481394e-07,4.109919e-01,6.816425e-01,7.040645e-01,False,9.860767e-01,False
channel15,-1.623067e-06,-1.318178e+00,1.893762e-01,5.477961e-07,2.850556e-01,7.759797e-01,7.040645e-01,False,9.860767e-01,False
channel16,-1.737810e-06,-1.341846e+00,1.815958e-01,3.443497e-07,1.703621e-01,8.649461e-01,7.040645e-01,False,9.860767e-01,False
