channel,int_sans_beta,int_sans_t,int_sans_p,int_saps_beta,int_saps_t,int_saps_p,int_wais_matrix_beta,int_wais_matrix_t,int_wais_matrix_p,int_sud_beta,int_sud_t,int_sud_p,int_sans_p_fdr,int_sans_sig,int_saps_p_fdr,int_saps_sig,int_wais_matrix_p_fdr,int_wais_matrix_sig,int_sud_p_fdr,int_sud_sig
left_dlpfc,1.273948e-06,1.237335e+00,2.178709e-01,4.913735e-07,3.103588e-01,7.567133e-01,-1.075470e-06,-6.270862e-01,5.315435e-01,1.679509e-05,9.529432e-01,3.421318e-01,2.904946e-01,False,7.567133e-01,False,9.648715e-01,False,7.699663e-01,False
left_mpfc,2.218382e-06,2.404615e+00,1.739249e-02,1.823918e-06,1.285675e+00,2.005117e-01,4.600333e-07,2.993587e-01,7.650753e-01,8.396603e-06,5.316945e-01,5.957138e-01,3.882887e-02,True,2.673489e-01,False,9.648715e-01,False,7.942851e-01,False
right_mpfc,1.864330e-06,2.362581e+00,1.941444e-02,1.626980e-06,1.340797e+00,1.819867e-01,-5.798536e-08,-4.411391e-02,9.648715e-01,-1.837090e-06,-1.360015e-01,8.920001e-01,3.882887e-02,True,2.673489e-01,False,9.648715e-01,False,8.920001e-01,False
right_dlpfc,2.189543e-07,2.797794e-01,7.800271e-01,1.963101e-06,1.631255e+00,1.049067e-01,-3.163076e-07,-2.426416e-01,8.086101e-01,1.167183e-05,8.712657e-01,3.849831e-01,7.800271e-01,False,2.673489e-01,False,9.648715e-01,False,7.699663e-01,False
