channel,int_sans_beta,int_sans_t,int_sans_p,int_saps_beta,int_saps_t,int_saps_p,int_wais_matrix_beta,int_wais_matrix_t,int_wais_matrix_p,int_sud_beta,int_sud_t,int_sud_p,int_sans_p_fdr,int_sans_sig,int_saps_p_fdr,int_saps_sig,int_wais_matrix_p_fdr,int_wais_matrix_sig,int_sud_p_fdr,int_sud_sig
left_dlpfc,1.283666e-06,9.258124e-01,3.561254e-01,-2.959968e-07,-1.405430e-01,8.884316e-01,-1.798342e-06,-8.033215e-01,4.231411e-01,5.951345e-06,2.494068e-01,8.034091e-01,9.891960e-01,False,9.453019e-01,False,9.031086e-01,False,8.530025e-01,False
left_mpfc,1.683609e-08,1.356530e-02,9.891960e-01,1.295707e-07,6.872999e-02,9.453019e-01,-2.443790e-07,-1.219546e-01,9.031086e-01,1.385023e-05,6.484366e-01,5.177572e-01,9.891960e-01,False,9.453019e-01,False,9.031086e-01,False,8.530025e-01,False
right_mpfc,3.402643e-07,2.465020e-01,8.056522e-01,4.584611e-07,2.186543e-01,8.272355e-01,1.285810e-06,5.769355e-01,5.649030e-01,4.409806e-06,1.856290e-01,8.530025e-01,9.891960e-01,False,9.453019e-01,False,9.031086e-01,False,8.530025e-01,False
right_dlpfc,-4.993730e-07,-3.490065e-01,7.276051e-01,1.817685e-07,8.363316e-02,9.334667e-01,-5.563969e-07,-2.408460e-01,8.100243e-01,5.844700e-06,2.373520e-01,8.127282e-01,9.891960e-01,False,9.453019e-01,False,9.031086e-01,False,8.530025e-01,False
