channel,n_pos,n_neg,mean_pos,sd_pos,mean_neg,sd_neg,mw_stat,mw_p,rb_r,cohens_d,ancova_beta,ancova_se,ancova_t,ancova_p,ancova_r2,ancova_p_fdr,ancova_p_fdr_sig,ancova_p_hoch,ancova_p_hoch_sig,ancova_p_homm,ancova_p_homm_sig,mw_p_fdr,mw_p_fdr_sig,mw_p_hoch,mw_p_hoch_sig,mw_p_homm,mw_p_homm_sig,ancova_p_perm_max,ancova_p_perm_max_sig,ancova_p_cluster,ancova_p_cluster_sig
left_dlpfc,66,85,-8.950758e-06,4.948627e-05,-8.411765e-07,3.921844e-05,2.618000e+03,4.841252e-01,6.666667e-02,-1.843364e-01,-2.314805e-05,1.054841e-05,-2.194457e+00,2.979397e-02,4.500381e-02,5.958794e-02,False,8.938190e-02,False,8.938190e-02,False,9.357002e-01,False,9.357002e-01,False,9.357002e-01,False,8.720000e-02,False,,False
left_mpfc,66,85,-1.280303e-06,3.956712e-05,3.285294e-06,3.792441e-05,2.783000e+03,9.357002e-01,7.843137e-03,-1.181279e-01,-9.345301e-06,9.393305e-06,-9.948896e-01,3.214473e-01,1.393841e-02,3.214473e-01,False,3.214473e-01,False,3.214473e-01,False,9.357002e-01,False,9.357002e-01,False,9.357002e-01,False,6.860000e-01,False,,False
right_mpfc,66,85,-6.075758e-06,5.045217e-05,-1.735294e-07,3.589255e-05,2.726000e+03,7.683713e-01,2.816399e-02,-1.377202e-01,-1.212532e-05,1.044532e-05,-1.160838e+00,2.476155e-01,9.570070e-03,3.214473e-01,False,3.214473e-01,False,3.214473e-01,False,9.357002e-01,False,9.357002e-01,False,9.357002e-01,False,5.640000e-01,False,,False
right_dlpfc,66,85,-7.719697e-06,5.432570e-05,-1.529412e-06,3.708758e-05,2.678500e+03,6.364275e-01,4.509804e-02,-1.362919e-01,-2.551814e-05,1.082080e-05,-2.358248e+00,1.969634e-02,5.355224e-02,5.958794e-02,False,7.878538e-02,False,5.958794e-02,False,9.357002e-01,False,9.357002e-01,False,9.357002e-01,False,5.940000e-02,False,,False
