channel,int_sans_beta,int_sans_t,int_sans_p,int_saps_beta,int_saps_t,int_saps_p,int_wais_matrix_beta,int_wais_matrix_t,int_wais_matrix_p,int_sud_beta,int_sud_t,int_sud_p,int_sans_p_fdr,int_sans_sig,int_saps_p_fdr,int_saps_sig,int_wais_matrix_p_fdr,int_wais_matrix_sig,int_sud_p_fdr,int_sud_sig
left_dlpfc,4.169200e-07,4.299239e-01,6.679073e-01,5.199180e-07,3.529597e-01,7.246458e-01,-5.881419e-07,-3.756360e-01,7.077520e-01,6.395117e-06,3.831859e-01,7.021590e-01,7.723566e-01,False,7.246458e-01,False,7.077520e-01,False,9.947800e-01,False
left_mpfc,2.142773e-06,2.643549e+00,9.132958e-03,1.137307e-06,9.237198e-01,3.572103e-01,1.615135e-06,1.234145e+00,2.192019e-01,1.010968e-05,7.247207e-01,4.698243e-01,3.653183e-02,True,4.762804e-01,False,6.984391e-01,False,9.947800e-01,False
right_mpfc,1.529953e-06,1.743480e+00,8.342945e-02,1.451463e-06,1.088921e+00,2.780465e-01,6.443691e-07,4.547995e-01,6.499530e-01,4.027402e-06,2.666774e-01,7.901072e-01,1.668589e-01,False,4.762804e-01,False,7.077520e-01,False,9.947800e-01,False
right_dlpfc,-2.450000e-07,-2.898503e-01,7.723566e-01,1.502351e-06,1.170120e+00,2.439267e-01,-1.281791e-06,-9.392286e-01,3.492195e-01,9.533924e-08,6.553927e-03,9.947800e-01,7.723566e-01,False,4.762804e-01,False,6.984391e-01,False,9.947800e-01,False
